crop,state,season,soil_type,rainfall_mm,temperature_c,ph,nitrogen,phosphorus,potassium,land_area_acres,yield_per_acre,total_yield
Soybean,Punjab,Zaid,Loamy,1137.9,22.3,5.7,203.6,52.9,96.7,4.2,13.58,57.66
Chickpea,Madhya Pradesh,Rabi,Loamy,431.0,15.3,7.9,175.7,44.3,240.7,10.6,8.81,93.64
Onion,Gujarat,Kharif,Black Soil,365.7,17.9,5.6,170.3,72.0,160.1,4.0,78.37,316.59
Wheat,Uttar Pradesh,Rabi,Clay,477.6,21.3,6.6,176.3,32.5,162.8,7.8,18.15,141.4
Groundnut,Karnataka,Rabi,Alluvial,1931.6,24.0,5.7,98.3,82.4,183.5,10.5,11.47,120.6
Tomato,Madhya Pradesh,Zaid,Sandy Loam,846.5,29.2,8.0,270.7,60.9,142.5,12.7,126.09,1603.68
Rice,Uttar Pradesh,Rabi,Sandy Loam,1713.1,31.6,8.5,267.3,97.5,125.9,15.0,16.62,249.43
Wheat,Gujarat,Zaid,Red Soil,802.0,36.4,5.5,64.6,74.2,143.4,12.2,20.22,247.49
Mustard,Karnataka,Zaid,Alluvial,788.5,23.0,7.4,54.9,47.8,130.3,8.9,10.44,92.64
Groundnut,Karnataka,Kharif,Clay,775.8,36.1,5.1,168.1,53.4,191.0,12.4,9.27,114.6
Sugarcane,Maharashtra,Rabi,Alluvial,1076.9,37.8,7.4,129.0,99.3,156.2,12.5,436.98,5447.8
Sugarcane,Uttar Pradesh,Zaid,Black Soil,1110.3,29.5,6.4,123.6,57.9,175.5,5.4,445.46,2426.04
Onion,Gujarat,Rabi,Black Soil,843.4,16.7,6.7,278.4,42.2,113.8,5.8,108.1,622.18
Chickpea,Karnataka,Zaid,Alluvial,1530.7,37.7,5.3,206.2,33.1,225.7,19.8,8.1,160.09
Cotton,Punjab,Rabi,Black Soil,849.1,26.5,8.2,161.8,37.1,80.0,4.1,6.5,26.81
Potato,Maharashtra,Zaid,Clay,1357.8,25.6,6.8,138.7,29.9,99.4,9.5,97.55,922.87
Tomato,Uttar Pradesh,Rabi,Black Soil,975.7,37.1,5.9,243.6,20.2,162.6,15.6,154.98,2411.66
Wheat,Madhya Pradesh,Zaid,Sandy Loam,1651.4,32.6,8.3,220.1,45.2,129.0,7.7,16.6,127.49
Tomato,Gujarat,Zaid,Black Soil,791.0,31.9,6.9,145.6,23.2,150.0,14.4,156.48,2260.13
Maize,Gujarat,Kharif,Sandy Loam,1211.7,28.0,6.0,79.6,62.1,195.7,6.4,31.84,204.24
Sugarcane,Uttar Pradesh,Zaid,Sandy Loam,1376.4,34.1,5.9,105.5,29.3,184.9,17.5,340.99,5978.47
Wheat,Madhya Pradesh,Kharif,Sandy Loam,1962.6,27.7,7.2,82.0,56.9,179.3,5.1,16.49,84.69
Wheat,Gujarat,Kharif,Loamy,1686.2,36.7,5.6,265.9,34.0,84.8,7.3,18.45,134.12
Soybean,Maharashtra,Zaid,Red Soil,1897.6,25.4,8.1,136.5,74.6,192.5,5.2,10.92,56.47
Chickpea,Maharashtra,Kharif,Sandy Loam,1286.9,22.4,6.2,88.5,33.5,209.6,8.1,8.16,66.27
Maize,Punjab,Kharif,Sandy Loam,1013.2,21.0,8.4,105.9,62.1,190.3,9.6,24.34,233.48
Potato,Karnataka,Zaid,Sandy Loam,1507.1,32.2,5.8,53.3,55.3,126.0,3.4,86.4,295.68
Cotton,Punjab,Kharif,Clay,1898.8,23.3,5.5,173.7,27.9,78.1,2.4,6.47,15.47
Soybean,Maharashtra,Rabi,Sandy Loam,532.1,19.2,7.4,149.5,59.8,73.8,14.2,13.03,185.13
Cotton,Punjab,Kharif,Loamy,304.8,30.3,8.1,207.3,26.6,115.4,9.8,5.64,55.03
Potato,Gujarat,Rabi,Alluvial,1011.0,17.8,5.9,233.3,80.3,150.2,6.5,155.16,1001.45
Sugarcane,Punjab,Kharif,Loamy,793.6,18.0,5.6,256.0,25.2,140.4,15.7,478.72,7532.14
Tomato,Maharashtra,Zaid,Black Soil,855.3,16.4,8.2,245.6,24.4,184.1,5.8,109.96,642.79
Groundnut,Uttar Pradesh,Kharif,Clay,1131.0,28.9,6.1,131.5,59.2,165.1,4.6,11.34,52.57
Rice,Gujarat,Kharif,Sandy Loam,1006.0,29.4,6.5,186.4,74.2,181.2,3.5,25.69,90.92
Groundnut,Uttar Pradesh,Rabi,Loamy,528.6,24.0,6.7,268.0,64.8,235.1,18.3,12.95,237.6
Potato,Uttar Pradesh,Kharif,Alluvial,1452.6,18.0,8.0,253.5,76.6,180.8,17.5,132.82,2318.2
Soybean,Punjab,Rabi,Red Soil,1914.8,36.8,7.2,247.3,28.7,205.0,3.6,14.79,53.11
Maize,Maharashtra,Kharif,Loamy,1829.0,28.5,5.2,203.9,27.7,172.7,8.7,25.64,222.25
Onion,Punjab,Kharif,Loamy,457.2,20.5,5.5,196.3,60.0,125.8,17.1,108.36,1857.37
Tomato,Punjab,Zaid,Clay,1324.8,17.1,6.8,162.3,61.7,204.2,19.7,140.09,2765.69
Rice,Madhya Pradesh,Zaid,Sandy Loam,487.6,15.7,7.4,290.3,95.7,113.5,9.2,21.09,193.59
Potato,Karnataka,Kharif,Red Soil,1845.1,34.1,6.3,120.9,39.7,91.4,5.2,98.85,511.6
Mustard,Madhya Pradesh,Zaid,Sandy Loam,522.7,31.1,7.7,289.2,41.6,122.1,9.8,8.92,87.17
Sugarcane,Madhya Pradesh,Zaid,Black Soil,701.7,15.8,6.2,235.9,22.6,124.5,12.9,437.5,5653.83
Wheat,Madhya Pradesh,Zaid,Clay,1553.7,26.2,5.4,190.6,30.4,78.9,13.0,15.08,196.45
Tomato,Punjab,Zaid,Loamy,778.4,25.5,5.4,158.3,93.3,143.3,14.0,144.48,2029.02
Maize,Punjab,Rabi,Black Soil,1191.6,18.9,5.3,208.8,51.4,78.7,10.4,22.71,236.14
Onion,Punjab,Zaid,Sandy Loam,1954.2,24.6,5.5,192.5,88.6,118.6,7.0,83.91,584.11
Mustard,Karnataka,Zaid,Red Soil,870.7,17.2,7.7,77.0,67.2,50.6,14.3,8.75,125.53
Onion,Karnataka,Rabi,Alluvial,1453.9,18.3,6.2,219.4,25.6,200.5,11.4,117.94,1348.92
Mustard,Uttar Pradesh,Rabi,Sandy Loam,1356.0,25.4,7.1,80.9,81.8,70.0,1.9,9.17,17.09
Maize,Karnataka,Kharif,Alluvial,728.2,20.9,6.4,254.5,76.9,91.6,17.9,32.71,586.62
Maize,Punjab,Kharif,Alluvial,1631.7,17.5,7.1,106.1,83.1,193.7,2.6,36.35,94.34
Soybean,Madhya Pradesh,Kharif,Alluvial,1329.8,18.0,7.4,270.9,54.5,220.4,7.3,15.24,110.92
Chickpea,Uttar Pradesh,Rabi,Red Soil,1837.9,27.4,5.5,148.1,74.2,92.8,9.2,9.2,85.05
Rice,Maharashtra,Zaid,Loamy,1832.2,23.3,5.6,112.3,38.5,105.6,16.2,19.46,314.66
Maize,Punjab,Zaid,Clay,1439.8,16.0,6.3,210.8,23.9,206.9,17.7,26.32,465.46
Wheat,Maharashtra,Rabi,Clay,1864.6,37.6,8.3,198.0,68.6,240.8,4.3,18.9,81.57
Sugarcane,Uttar Pradesh,Zaid,Loamy,1806.5,35.5,6.2,159.5,98.7,159.0,13.3,409.93,5442.31
Soybean,Gujarat,Zaid,Sandy Loam,774.5,36.2,6.9,60.5,73.0,190.5,4.7,15.45,73.27
Sugarcane,Karnataka,Rabi,Clay,1612.9,28.9,6.4,97.2,85.5,83.3,11.2,431.32,4832.58
Tomato,Uttar Pradesh,Kharif,Sandy Loam,671.6,24.9,6.1,213.3,94.1,109.4,9.3,138.62,1295.19
Maize,Punjab,Kharif,Alluvial,571.6,25.5,7.9,255.3,46.1,120.1,9.3,32.85,305.31
Soybean,Gujarat,Kharif,Black Soil,947.8,24.4,5.5,277.9,71.9,179.0,3.6,12.51,45.18
Mustard,Uttar Pradesh,Kharif,Black Soil,1580.8,31.4,7.7,139.9,42.6,105.5,15.3,7.18,109.97
Groundnut,Punjab,Rabi,Red Soil,1301.2,32.3,8.0,108.9,86.1,67.1,7.7,10.49,80.43
Mustard,Madhya Pradesh,Kharif,Sandy Loam,393.4,18.8,7.8,291.9,61.3,51.2,13.4,7.15,96.22
Mustard,Karnataka,Rabi,Alluvial,753.7,30.9,5.5,292.7,63.6,185.4,15.0,10.52,157.49
Maize,Gujarat,Rabi,Alluvial,1185.9,36.6,5.2,147.6,64.3,177.2,9.5,26.41,252.24
Rice,Punjab,Rabi,Loamy,438.0,23.1,7.7,113.7,33.4,240.7,3.1,21.95,68.74
Rice,Punjab,Kharif,Sandy Loam,1738.1,23.6,7.4,229.6,79.0,239.2,5.0,22.48,112.33
Potato,Punjab,Kharif,Alluvial,357.0,23.9,5.8,293.0,93.0,117.8,6.3,117.26,741.74
Maize,Karnataka,Zaid,Alluvial,1579.6,33.0,6.3,143.5,23.2,181.0,1.0,31.58,31.81
Maize,Maharashtra,Zaid,Black Soil,743.9,36.2,5.7,213.2,82.1,122.6,1.2,28.51,32.9
Soybean,Madhya Pradesh,Rabi,Clay,1117.5,33.2,8.2,176.9,65.2,102.5,12.6,11.65,146.35
Wheat,Madhya Pradesh,Rabi,Alluvial,1636.9,27.1,7.0,112.5,91.2,155.1,8.0,23.65,189.85
Cotton,Maharashtra,Rabi,Alluvial,945.1,16.2,6.8,143.7,81.0,88.0,10.5,10.14,106.61
Maize,Madhya Pradesh,Zaid,Red Soil,1633.1,35.7,6.2,279.5,74.3,148.8,17.1,32.01,547.29
Cotton,Karnataka,Rabi,Red Soil,1913.7,25.8,5.6,115.3,39.8,152.0,10.3,7.15,73.85
Tomato,Punjab,Zaid,Clay,1827.9,24.2,6.4,233.9,40.1,182.7,5.4,128.39,690.33
Mustard,Punjab,Rabi,Loamy,401.5,26.2,8.4,262.5,32.7,126.4,17.9,7.68,137.34
Maize,Karnataka,Kharif,Clay,1438.0,28.7,5.7,285.9,23.3,144.6,18.9,33.08,624.55
Potato,Karnataka,Rabi,Clay,1133.5,27.2,7.6,149.8,62.7,164.8,7.1,101.47,723.39
Rice,Maharashtra,Kharif,Black Soil,940.1,27.9,8.0,83.4,21.9,209.4,7.7,23.04,177.82
Groundnut,Madhya Pradesh,Zaid,Black Soil,599.2,36.9,5.8,111.5,82.1,78.4,13.7,9.78,134.2
Groundnut,Gujarat,Zaid,Clay,1088.0,31.7,6.0,177.0,27.5,103.8,16.6,11.98,199.36
Onion,Punjab,Rabi,Clay,1530.6,16.7,6.8,54.2,30.9,113.5,13.1,89.51,1170.88
Rice,Maharashtra,Zaid,Clay,1894.9,37.2,5.6,97.2,99.9,173.7,7.7,20.06,155.26
Sugarcane,Punjab,Rabi,Red Soil,710.8,19.5,6.3,219.0,49.1,247.9,12.3,437.68,5363.73
Chickpea,Madhya Pradesh,Rabi,Loamy,705.2,29.8,8.3,225.8,60.0,239.2,5.7,9.9,56.5
Potato,Maharashtra,Zaid,Sandy Loam,1283.2,17.5,7.0,141.2,42.9,85.0,4.9,116.0,565.64
Maize,Karnataka,Zaid,Sandy Loam,769.7,21.4,6.6,124.5,92.0,169.3,1.4,27.42,38.08
Groundnut,Madhya Pradesh,Kharif,Alluvial,1673.8,23.3,8.2,66.9,70.1,186.9,4.5,10.53,46.88
Cotton,Madhya Pradesh,Kharif,Alluvial,1123.9,32.2,5.9,103.9,87.1,242.2,11.1,10.71,119.21
Soybean,Uttar Pradesh,Rabi,Clay,1726.8,18.1,5.3,193.0,47.3,95.0,2.1,11.79,25.33
Sugarcane,Maharashtra,Rabi,Red Soil,1284.3,27.7,5.4,241.1,33.1,121.0,18.4,305.92,5614.92
Cotton,Maharashtra,Zaid,Black Soil,328.2,20.1,5.6,127.4,67.6,124.3,10.1,6.93,70.03
Maize,Gujarat,Rabi,Red Soil,424.0,25.5,8.2,282.6,58.8,75.9,18.6,23.8,442.54
Soybean,Karnataka,Rabi,Sandy Loam,1942.9,22.9,5.3,93.7,24.0,96.2,18.6,10.23,190.48
Soybean,Karnataka,Kharif,Black Soil,1447.0,27.7,6.9,221.0,69.1,85.4,12.9,13.1,168.89
Onion,Karnataka,Rabi,Alluvial,1109.8,16.5,5.5,138.3,52.2,123.1,11.8,71.48,845.84
Potato,Uttar Pradesh,Rabi,Loamy,337.6,37.5,5.1,146.4,61.5,155.5,9.7,83.04,804.87
Onion,Karnataka,Zaid,Sandy Loam,596.3,32.6,7.5,237.0,72.8,111.2,5.5,88.95,488.37
Rice,Karnataka,Kharif,Alluvial,637.2,30.7,7.1,183.0,36.9,104.7,15.1,26.03,393.93
Onion,Madhya Pradesh,Kharif,Sandy Loam,633.8,35.8,7.5,236.2,83.7,68.6,14.2,84.26,1200.23
Rice,Karnataka,Rabi,Alluvial,390.7,31.1,7.6,292.3,52.5,172.7,6.0,21.0,126.15
Chickpea,Madhya Pradesh,Zaid,Black Soil,1689.3,30.7,8.0,183.7,49.2,196.0,9.8,8.87,86.95
Soybean,Punjab,Zaid,Alluvial,1057.0,23.0,6.2,229.1,31.1,220.8,18.4,19.08,350.85
Soybean,Gujarat,Zaid,Sandy Loam,1839.6,33.2,8.0,218.8,61.6,154.9,15.9,12.66,201.36
Soybean,Uttar Pradesh,Rabi,Clay,1173.6,27.8,6.4,103.4,66.4,235.6,14.6,16.21,237.14
Tomato,Uttar Pradesh,Zaid,Sandy Loam,1151.1,31.5,7.5,137.4,86.9,249.2,17.4,122.89,2138.47
Cotton,Karnataka,Zaid,Loamy,1500.0,35.5,8.0,99.2,24.2,160.5,19.7,9.65,190.16
Onion,Karnataka,Rabi,Loamy,1868.5,32.8,5.8,190.6,33.0,244.0,5.7,108.82,617.87
Tomato,Punjab,Rabi,Red Soil,553.8,22.0,7.0,91.3,35.4,53.1,19.2,132.39,2538.52
Cotton,Uttar Pradesh,Rabi,Red Soil,1276.5,34.8,6.6,287.5,29.4,54.7,1.7,9.87,16.87
Groundnut,Karnataka,Zaid,Sandy Loam,1479.0,24.8,7.8,252.1,84.5,137.7,11.3,13.35,150.51
Potato,Maharashtra,Kharif,Sandy Loam,1861.9,17.4,5.5,251.5,75.2,200.3,13.5,107.16,1443.53
Cotton,Karnataka,Rabi,Black Soil,717.0,30.3,7.5,254.8,43.1,87.0,7.4,10.37,76.41
Maize,Madhya Pradesh,Kharif,Alluvial,1363.7,33.6,6.8,175.2,29.5,132.4,1.3,29.84,38.29
Cotton,Maharashtra,Rabi,Black Soil,1432.8,37.6,7.9,193.4,65.7,56.1,2.5,10.16,25.52
Wheat,Maharashtra,Rabi,Clay,592.0,32.7,7.8,82.1,51.6,199.1,3.4,20.73,69.69
Tomato,Uttar Pradesh,Rabi,Loamy,1951.2,35.1,8.1,231.6,34.7,117.0,11.4,138.22,1573.77
Mustard,Maharashtra,Kharif,Alluvial,1307.7,36.7,6.7,55.3,94.5,186.6,15.3,9.61,147.1
Potato,Uttar Pradesh,Rabi,Sandy Loam,412.8,37.0,5.5,98.3,23.2,148.9,7.1,104.47,744.52
Wheat,Punjab,Rabi,Clay,1881.4,31.9,6.5,139.4,29.2,67.9,2.3,20.03,46.92
Soybean,Madhya Pradesh,Zaid,Clay,712.5,37.4,6.5,249.6,52.0,67.9,19.1,13.27,253.73
Tomato,Gujarat,Zaid,Clay,1124.5,31.1,7.4,112.7,95.2,120.1,3.4,125.55,426.34
Potato,Maharashtra,Kharif,Alluvial,1354.2,33.6,7.9,79.4,36.6,131.9,8.3,111.55,923.34
Chickpea,Maharashtra,Zaid,Alluvial,846.2,26.3,7.6,98.7,82.3,122.3,9.7,10.11,97.71
Maize,Madhya Pradesh,Zaid,Red Soil,586.9,37.0,5.9,271.8,68.6,84.8,14.6,30.93,450.75
Chickpea,Karnataka,Kharif,Red Soil,932.9,32.8,6.5,79.2,81.9,190.2,10.0,10.61,106.35
Wheat,Karnataka,Zaid,Red Soil,571.7,30.2,8.3,191.0,65.7,142.3,9.8,16.05,156.88
Onion,Uttar Pradesh,Rabi,Loamy,1513.5,21.0,5.6,131.2,96.5,138.7,1.6,90.56,147.06
Soybean,Maharashtra,Zaid,Loamy,1828.1,32.8,7.7,188.0,52.0,230.4,18.0,14.74,265.34
Rice,Karnataka,Kharif,Alluvial,1459.8,32.3,5.2,87.7,57.8,224.1,15.8,18.5,291.62
Potato,Uttar Pradesh,Kharif,Alluvial,1970.1,23.5,6.1,261.1,59.7,206.0,2.2,155.46,347.01
Maize,Gujarat,Kharif,Sandy Loam,1030.0,22.1,6.8,215.7,82.8,225.3,14.2,29.11,413.9
Tomato,Karnataka,Kharif,Alluvial,596.0,32.5,7.1,280.6,32.3,119.3,18.1,168.04,3046.54
Chickpea,Uttar Pradesh,Zaid,Sandy Loam,1850.7,32.1,6.3,100.0,45.3,216.2,18.0,9.23,166.59
Groundnut,Gujarat,Rabi,Clay,740.1,27.1,5.6,226.2,91.2,223.4,6.0,13.75,82.67
Cotton,Gujarat,Kharif,Alluvial,800.6,17.3,6.8,185.1,68.0,238.6,9.5,12.21,116.08
Tomato,Madhya Pradesh,Rabi,Alluvial,538.9,36.8,5.0,153.2,96.4,165.6,15.2,130.1,1971.49
Maize,Punjab,Rabi,Loamy,1564.3,20.3,7.3,269.2,29.7,141.5,5.4,35.45,193.2
Groundnut,Gujarat,Kharif,Red Soil,526.1,37.2,6.1,153.2,92.4,136.2,2.4,10.46,25.54
Chickpea,Uttar Pradesh,Zaid,Red Soil,896.3,37.1,7.0,244.2,73.1,211.6,11.0,9.62,106.2
Maize,Uttar Pradesh,Zaid,Clay,426.4,33.4,7.4,201.0,78.4,154.6,4.9,30.97,153.22
Potato,Uttar Pradesh,Kharif,Alluvial,1907.4,28.7,5.0,294.5,30.8,149.4,4.2,117.18,494.55
Chickpea,Gujarat,Zaid,Clay,469.4,17.0,8.4,180.4,28.7,83.8,1.7,6.38,10.79
Cotton,Uttar Pradesh,Kharif,Clay,1613.5,22.8,8.1,67.3,29.4,106.6,7.3,6.41,47.08
Cotton,Gujarat,Kharif,Black Soil,1251.2,34.6,7.7,195.2,31.2,50.0,14.2,8.93,127.15
Cotton,Karnataka,Kharif,Sandy Loam,561.4,29.9,5.7,271.3,77.6,124.3,2.0,10.17,20.44
Tomato,Maharashtra,Zaid,Black Soil,374.5,18.2,6.5,263.3,41.4,75.0,13.1,114.12,1490.53
Groundnut,Karnataka,Zaid,Loamy,342.9,18.2,8.5,141.0,68.8,153.3,17.7,8.27,146.05
Groundnut,Maharashtra,Kharif,Black Soil,1164.0,28.7,7.8,251.7,97.0,215.4,4.2,11.18,46.56
Sugarcane,Uttar Pradesh,Zaid,Loamy,1315.0,16.6,5.9,241.8,85.4,240.0,11.5,444.82,5094.5
Rice,Karnataka,Rabi,Clay,357.2,34.1,6.5,290.4,67.5,152.8,9.0,18.49,167.21
Cotton,Gujarat,Rabi,Loamy,1495.8,26.9,5.6,162.4,48.5,134.8,19.4,9.04,175.56
Rice,Madhya Pradesh,Rabi,Alluvial,583.9,35.4,5.3,140.3,42.6,92.3,18.1,17.55,317.87
Wheat,Punjab,Rabi,Loamy,860.8,22.6,5.2,154.5,74.9,109.1,15.0,17.79,266.82
Wheat,Madhya Pradesh,Rabi,Red Soil,1681.0,21.2,5.7,52.0,91.6,227.2,13.5,22.72,307.38
Onion,Maharashtra,Zaid,Red Soil,963.3,25.7,8.3,243.9,82.0,202.3,13.2,74.0,973.48
Onion,Maharashtra,Zaid,Black Soil,1505.5,33.3,6.1,196.8,79.0,143.1,1.6,89.02,138.83
Potato,Karnataka,Rabi,Clay,1034.5,26.3,7.4,198.9,82.5,54.4,5.5,104.23,574.02
Chickpea,Karnataka,Zaid,Alluvial,681.0,18.3,7.6,82.9,24.5,90.6,3.5,10.15,35.65
Tomato,Punjab,Rabi,Red Soil,1789.7,20.8,8.3,265.2,21.3,151.5,3.9,114.5,446.79
Chickpea,Gujarat,Zaid,Sandy Loam,374.7,30.9,8.2,253.9,80.3,132.0,15.9,5.41,86.12
Soybean,Gujarat,Kharif,Clay,1132.0,32.0,5.9,56.8,69.7,144.0,16.4,12.93,211.64
Chickpea,Karnataka,Kharif,Red Soil,1367.4,25.6,5.8,212.8,74.6,199.3,9.2,8.63,79.54
Chickpea,Gujarat,Kharif,Loamy,972.9,26.3,7.2,243.1,65.5,177.1,11.0,11.68,128.54
Wheat,Uttar Pradesh,Zaid,Black Soil,1465.1,34.2,6.6,284.1,42.5,159.1,18.3,26.31,480.45
Chickpea,Uttar Pradesh,Kharif,Alluvial,1419.3,30.0,5.5,257.8,69.2,113.9,15.3,9.48,145.46
Wheat,Punjab,Zaid,Loamy,617.6,17.4,5.1,81.8,30.0,113.5,13.8,17.37,239.12
Wheat,Gujarat,Kharif,Loamy,465.4,23.6,7.4,185.7,44.9,134.0,19.8,23.33,463.16
Wheat,Maharashtra,Zaid,Sandy Loam,1372.5,29.0,6.8,215.8,29.5,222.0,3.4,18.8,63.29
Sugarcane,Madhya Pradesh,Zaid,Black Soil,904.4,30.0,8.3,64.9,62.3,65.9,4.1,331.5,1343.84
Tomato,Gujarat,Kharif,Loamy,405.4,15.8,6.6,190.3,53.0,130.8,7.0,146.09,1020.62
Groundnut,Karnataka,Zaid,Sandy Loam,1189.3,31.3,6.1,122.3,45.7,242.1,5.7,10.88,62.0
Soybean,Uttar Pradesh,Zaid,Red Soil,1023.9,32.4,8.3,117.2,46.4,118.4,19.9,10.2,203.03
Rice,Karnataka,Rabi,Sandy Loam,1682.6,19.2,8.0,94.4,62.5,141.1,6.7,16.81,112.49
Onion,Gujarat,Kharif,Black Soil,882.5,33.5,7.3,126.7,58.3,76.8,12.1,102.99,1245.41
Soybean,Uttar Pradesh,Rabi,Alluvial,1763.4,24.9,7.0,75.4,25.8,70.2,13.5,14.16,191.63
Wheat,Punjab,Zaid,Loamy,1030.2,26.6,5.0,74.2,47.0,142.1,19.1,16.42,313.79
Sugarcane,Maharashtra,Kharif,Red Soil,1983.1,32.0,8.1,158.2,86.2,91.3,19.4,357.43,6948.13
Cotton,Madhya Pradesh,Zaid,Black Soil,812.9,15.4,6.1,237.3,76.3,217.1,14.1,10.63,150.32
Maize,Punjab,Kharif,Clay,1869.3,24.2,6.9,59.4,82.5,90.6,8.0,30.53,245.41
Maize,Karnataka,Kharif,Loamy,1715.8,26.1,8.1,69.9,72.3,162.3,10.6,21.46,228.36
Chickpea,Karnataka,Kharif,Loamy,1759.0,28.1,5.2,189.7,52.5,134.6,15.6,7.12,111.02
Rice,Uttar Pradesh,Rabi,Black Soil,1678.7,25.8,5.5,118.1,36.4,87.7,6.1,15.58,95.58
Cotton,Gujarat,Zaid,Sandy Loam,1613.5,28.9,6.0,293.9,77.4,166.0,14.1,10.56,149.04
Wheat,Karnataka,Zaid,Red Soil,1507.6,19.0,7.1,95.6,35.7,131.4,10.3,16.96,174.57
Chickpea,Punjab,Zaid,Clay,488.3,30.7,6.9,257.1,73.3,189.1,1.0,9.51,9.78
Cotton,Gujarat,Rabi,Sandy Loam,1828.6,22.2,8.0,212.8,39.6,93.8,4.1,7.46,30.62
Onion,Uttar Pradesh,Kharif,Sandy Loam,1001.6,34.6,6.8,62.8,39.6,245.5,9.7,94.31,915.55
Groundnut,Madhya Pradesh,Kharif,Loamy,418.4,30.3,7.1,140.5,33.2,206.5,15.9,11.33,179.78
Sugarcane,Karnataka,Kharif,Clay,830.1,20.9,6.3,135.3,59.7,105.3,3.7,408.11,1526.76
Sugarcane,Madhya Pradesh,Kharif,Loamy,910.8,15.3,5.6,164.8,51.8,224.6,1.9,457.5,889.39
Tomato,Maharashtra,Kharif,Clay,1340.5,31.3,6.7,228.4,23.2,133.3,2.0,139.35,280.98
Chickpea,Karnataka,Rabi,Sandy Loam,730.1,22.6,8.3,161.4,61.9,245.9,5.1,8.03,40.8
Chickpea,Punjab,Zaid,Clay,1896.4,22.2,6.0,296.0,57.5,79.3,1.4,10.01,14.05
Sugarcane,Maharashtra,Rabi,Loamy,1889.4,21.9,6.4,70.7,47.2,137.1,13.4,437.85,5873.09
Groundnut,Maharashtra,Kharif,Clay,1496.8,36.4,5.9,247.1,98.0,188.7,3.9,12.89,50.8
Tomato,Madhya Pradesh,Zaid,Sandy Loam,891.2,31.2,8.3,178.0,26.1,113.5,1.5,91.38,139.34
Mustard,Punjab,Zaid,Red Soil,1034.4,25.1,7.4,227.9,22.9,57.6,18.8,10.1,189.74
Rice,Maharashtra,Zaid,Alluvial,1953.8,22.3,6.0,280.2,77.6,67.2,2.3,27.33,61.85
Rice,Uttar Pradesh,Rabi,Black Soil,1561.8,24.0,7.3,144.5,23.3,63.4,16.1,18.21,293.44
Onion,Uttar Pradesh,Kharif,Red Soil,1912.1,18.3,7.2,229.4,26.0,206.5,11.5,87.75,1007.56
Maize,Gujarat,Rabi,Clay,1064.7,27.0,5.5,81.8,37.1,104.2,1.7,23.93,40.42
Tomato,Gujarat,Rabi,Red Soil,1499.4,35.9,8.4,53.7,43.4,84.4,14.9,108.24,1617.18
Wheat,Karnataka,Kharif,Sandy Loam,1122.0,16.0,5.8,94.4,51.7,113.5,8.5,18.66,159.52
Soybean,Maharashtra,Zaid,Red Soil,703.5,18.5,7.2,176.6,37.0,76.2,5.2,14.44,74.71
Rice,Punjab,Kharif,Red Soil,478.4,25.2,5.6,285.5,72.7,240.8,16.0,26.75,426.76
Chickpea,Punjab,Kharif,Black Soil,1822.7,31.0,7.8,157.7,37.3,139.3,11.3,8.17,92.14
Cotton,Punjab,Rabi,Black Soil,1355.8,24.7,5.2,109.1,89.5,100.5,13.4,8.9,118.89
Potato,Uttar Pradesh,Kharif,Clay,1302.4,36.4,5.3,203.9,30.7,107.4,1.7,107.83,182.01
Onion,Maharashtra,Kharif,Loamy,1064.1,26.6,5.1,229.7,93.6,185.9,11.1,98.39,1095.84
Groundnut,Gujarat,Rabi,Black Soil,404.6,21.5,8.3,69.4,94.8,83.9,11.2,9.03,100.86
Cotton,Karnataka,Kharif,Red Soil,504.9,15.8,6.6,86.6,75.7,123.5,4.9,9.03,44.69
Mustard,Gujarat,Kharif,Sandy Loam,1845.1,27.8,7.5,170.5,85.3,105.8,13.4,8.08,108.55
Chickpea,Karnataka,Rabi,Black Soil,413.5,26.8,7.7,238.9,75.7,81.4,18.0,9.43,169.61
Rice,Uttar Pradesh,Kharif,Sandy Loam,1766.5,21.0,6.0,84.9,61.5,134.6,14.9,21.29,316.92
Soybean,Uttar Pradesh,Zaid,Black Soil,1821.0,28.5,8.3,66.4,68.4,157.8,8.1,9.74,78.92
Soybean,Gujarat,Kharif,Sandy Loam,736.7,26.3,6.1,136.8,79.7,57.6,6.9,14.21,98.08
Soybean,Punjab,Zaid,Alluvial,776.7,29.2,8.4,144.3,70.7,128.2,9.1,13.24,120.82
Maize,Maharashtra,Zaid,Clay,336.6,33.8,7.8,256.0,77.7,225.7,13.1,21.03,275.89
Mustard,Karnataka,Zaid,Alluvial,1094.3,30.2,6.3,96.3,44.2,139.6,13.9,9.1,126.17
Rice,Maharashtra,Kharif,Alluvial,1184.3,36.2,6.8,221.4,77.7,86.3,16.4,29.18,478.49
Groundnut,Punjab,Rabi,Black Soil,1819.1,22.3,5.3,110.8,77.2,222.2,6.2,9.36,58.07
Wheat,Gujarat,Kharif,Alluvial,1549.6,31.5,7.7,139.6,25.9,240.2,6.9,21.46,148.76
Soybean,Punjab,Rabi,Sandy Loam,313.3,27.0,7.4,95.5,70.0,196.1,12.4,10.47,130.27
Onion,Karnataka,Rabi,Alluvial,1772.1,15.7,8.0,206.1,23.3,124.7,3.0,76.01,228.93
Maize,Karnataka,Zaid,Loamy,957.5,37.0,8.4,232.2,43.9,249.2,14.0,30.75,431.39
Onion,Gujarat,Rabi,Black Soil,1565.1,27.7,6.0,131.7,43.3,172.2,11.6,83.97,970.82
