soil_type,season,rainfall_mm,temperature_c,ph,nitrogen,phosphorus,potassium,recommended_crop
Clay,Rabi,1747.9,12.4,6.92,92.6,87.2,228.0,Rice
Clay Loam,Kharif,2489.1,21.5,6.18,107.8,86.0,164.3,Soybean
Alluvial,Zaid,1149.5,16.8,7.48,322.2,58.3,173.0,Wheat
Red Soil,Kharif,2488.4,28.3,6.22,42.6,102.9,258.9,Groundnut
Black Soil,Zaid,768.3,13.2,8.87,274.4,74.9,61.1,Chickpea
Loamy,Kharif,1954.0,30.9,6.29,347.0,105.1,164.8,Soybean
Clay Loam,Rabi,775.1,27.2,6.56,300.1,23.2,292.8,Wheat
Alluvial,Zaid,962.4,22.3,7.05,106.9,103.1,291.7,Maize
Clay Loam,Kharif,842.9,20.8,5.88,72.0,45.6,100.1,Soybean
Clay Loam,Zaid,1008.3,36.8,5.97,302.6,83.9,141.7,Tomato
Sandy Loam,Zaid,1915.0,33.4,8.98,125.4,116.0,209.1,Onion
Black Soil,Zaid,2263.4,13.8,8.45,210.2,76.9,103.7,Soybean
Loamy,Rabi,1154.6,34.9,6.22,39.9,58.8,174.3,Chickpea
Clay Loam,Zaid,1527.4,33.6,7.55,216.3,26.1,276.1,Tomato
Loamy,Zaid,1024.4,34.2,7.95,124.8,33.3,158.3,Onion
Sandy Loam,Kharif,2090.8,36.7,5.13,221.6,81.4,41.1,Maize
Black Soil,Kharif,2427.4,13.5,7.72,281.8,16.7,184.1,Soybean
Loamy,Kharif,1916.6,20.7,8.93,242.6,94.1,120.6,Groundnut
Alluvial,Rabi,709.7,18.5,7.11,126.0,30.5,194.4,Wheat
Alluvial,Rabi,288.3,28.4,5.31,156.3,40.8,76.1,Mustard
Red Soil,Rabi,2346.8,28.3,4.87,89.1,15.5,68.1,Cotton
Clay,Rabi,448.0,34.3,7.88,322.5,119.5,251.8,Rice
Loamy,Kharif,835.7,37.2,5.77,145.5,101.0,52.2,Rice
Sandy Loam,Zaid,1198.1,39.7,4.75,335.7,89.7,233.9,Tomato
Alluvial,Rabi,2156.5,35.9,5.89,77.6,65.7,55.8,Wheat
Alluvial,Rabi,2011.2,29.1,7.49,309.8,100.8,267.8,Mustard
Black Soil,Rabi,498.1,19.4,6.37,77.7,118.7,203.1,Chickpea
Loamy,Kharif,1124.2,39.6,4.6,332.8,110.2,149.9,Rice
Clay Loam,Kharif,202.5,23.8,5.45,57.6,35.2,64.4,Soybean
Clay Loam,Kharif,2082.8,18.8,4.95,340.7,102.2,298.6,Soybean
Red Soil,Kharif,2213.5,17.3,7.27,274.2,22.9,57.3,Cotton
Black Soil,Kharif,1801.9,24.3,8.18,110.7,25.5,196.5,Soybean
Alluvial,Zaid,1582.4,38.7,7.0,325.7,43.7,172.4,Cotton
Sandy Loam,Rabi,1744.9,29.5,6.79,147.6,38.1,140.7,Mustard
Sandy Loam,Rabi,532.5,13.3,6.0,246.8,49.6,75.9,Mustard
Alluvial,Kharif,2129.0,11.4,6.65,40.9,113.9,230.9,Rice
Clay,Zaid,1387.7,28.7,5.3,50.3,43.8,213.4,Rice
Red Soil,Kharif,2475.6,32.6,5.74,247.2,14.1,152.5,Groundnut
Clay,Zaid,2354.0,10.7,4.55,179.7,92.5,189.2,Rice
Sandy Loam,Kharif,1536.5,30.1,8.96,159.9,93.4,72.5,Maize
Clay Loam,Rabi,1488.7,12.0,7.79,101.2,114.0,219.5,Chickpea
Sandy Loam,Rabi,258.3,24.4,7.24,105.2,26.2,284.0,Potato
Sandy Loam,Kharif,1520.4,10.1,8.45,104.1,88.6,34.8,Groundnut
Alluvial,Zaid,724.4,11.9,6.7,260.0,86.4,52.4,Sugarcane
Sandy Loam,Kharif,1557.3,35.3,7.47,58.8,64.9,239.6,Maize
Sandy Loam,Kharif,1603.7,18.1,7.82,112.8,63.8,114.8,Maize
Black Soil,Rabi,608.4,14.0,5.84,81.7,16.8,256.4,Chickpea
Black Soil,Zaid,529.9,36.9,5.87,343.6,67.2,137.9,Cotton
Clay Loam,Rabi,2338.9,38.2,5.76,44.1,60.8,198.9,Chickpea
Clay Loam,Zaid,1699.9,28.8,4.79,30.0,54.5,191.5,Onion
Loamy,Kharif,276.9,24.1,8.39,139.2,20.3,185.1,Maize
Clay Loam,Zaid,2250.5,26.0,7.25,183.9,60.6,259.3,Tomato
Clay,Kharif,1807.9,31.5,8.87,219.5,29.1,56.5,Rice
Alluvial,Kharif,1098.7,33.0,5.17,69.9,100.7,135.6,Maize
Black Soil,Zaid,1505.6,27.9,5.18,87.0,91.7,35.3,Chickpea
Alluvial,Rabi,1996.3,32.6,8.25,233.3,13.1,87.8,Potato
Loamy,Rabi,1273.0,12.9,7.2,130.6,31.7,48.2,Potato
Alluvial,Kharif,293.2,38.5,7.63,272.5,25.1,95.6,Maize
Red Soil,Kharif,2192.5,35.7,4.99,153.4,11.1,82.0,Groundnut
Alluvial,Zaid,2244.4,21.3,5.57,172.8,58.5,297.8,Cotton
Clay Loam,Rabi,2267.7,19.7,5.74,219.3,118.3,86.0,Wheat
Loamy,Zaid,345.5,29.6,5.33,225.0,18.9,133.8,Onion
Loamy,Rabi,768.6,39.1,6.43,84.9,52.3,216.1,Wheat
Alluvial,Zaid,989.3,33.4,7.97,164.6,78.0,192.6,Cotton
Clay,Rabi,1608.2,37.4,5.03,140.9,43.9,142.0,Rice
Clay Loam,Kharif,583.7,28.2,4.51,302.3,18.1,287.5,Soybean
Alluvial,Rabi,2272.9,13.4,7.31,41.9,42.9,205.6,Wheat
Alluvial,Rabi,1383.2,20.5,6.15,79.1,89.3,44.5,Wheat
Sandy Loam,Zaid,537.5,37.3,7.54,242.1,114.3,31.7,Onion
Alluvial,Rabi,2261.4,34.4,7.29,317.3,32.0,286.2,Wheat
Clay Loam,Zaid,1290.9,34.3,7.37,72.8,100.1,224.8,Onion
Clay,Kharif,1981.6,35.8,5.1,121.7,84.8,198.6,Rice
Black Soil,Zaid,1257.6,21.6,7.85,119.5,59.1,298.9,Soybean
Clay Loam,Kharif,2024.4,26.9,6.52,321.2,49.3,220.8,Soybean
Alluvial,Kharif,1109.5,21.4,8.53,323.3,47.7,227.7,Cotton
Sandy Loam,Kharif,1345.1,22.4,7.02,334.0,90.9,92.2,Groundnut
Clay Loam,Rabi,2173.5,17.7,5.25,217.2,93.3,176.8,Wheat
Black Soil,Zaid,714.4,39.3,6.97,311.8,46.8,126.4,Cotton
Alluvial,Rabi,1550.7,29.7,8.67,104.8,59.4,110.0,Wheat
Sandy Loam,Zaid,1612.7,28.4,5.83,76.2,91.1,134.5,Onion
Clay Loam,Zaid,1442.4,21.5,6.21,311.5,68.8,90.5,Tomato
Alluvial,Zaid,1982.4,29.8,8.36,316.7,13.7,143.8,Sugarcane
Loamy,Rabi,312.3,25.5,8.39,157.0,64.7,234.8,Mustard
Clay Loam,Rabi,1712.2,27.2,8.69,236.1,71.8,141.5,Wheat
Alluvial,Rabi,490.2,39.9,6.86,203.1,107.5,212.0,Wheat
Black Soil,Zaid,1962.7,16.1,7.71,298.1,35.8,147.0,Cotton
Loamy,Kharif,1263.3,28.8,8.2,112.6,87.8,180.9,Soybean
Clay,Zaid,1889.2,19.8,8.16,203.5,45.2,85.9,Rice
Loamy,Zaid,1427.5,25.0,8.67,325.9,105.2,212.4,Tomato
Sandy Loam,Kharif,658.5,17.8,6.48,101.3,48.9,172.6,Maize
Alluvial,Kharif,366.5,11.2,6.27,105.5,10.4,135.5,Cotton
Alluvial,Kharif,2152.5,14.3,6.88,137.8,47.1,249.9,Maize
Black Soil,Zaid,2424.0,15.3,5.84,207.3,85.4,207.4,Soybean
Alluvial,Rabi,1141.5,32.4,6.23,255.8,62.7,151.6,Wheat
Loamy,Kharif,606.0,23.4,8.23,326.4,17.8,211.9,Maize
Clay,Rabi,1588.0,32.8,6.53,103.7,91.1,51.1,Rice
Alluvial,Zaid,265.1,11.9,8.43,337.4,83.2,263.1,Mustard
Alluvial,Kharif,1978.7,32.8,6.97,164.2,64.8,244.5,Maize
Red Soil,Rabi,783.5,26.9,6.35,162.6,114.6,220.2,Cotton
Red Soil,Zaid,1572.7,23.8,6.89,94.1,80.9,133.8,Cotton
Clay,Zaid,1914.2,18.8,8.58,96.8,15.2,77.1,Rice
Alluvial,Rabi,265.6,10.8,6.78,322.7,89.4,270.4,Mustard
Sandy Loam,Zaid,790.4,25.2,8.88,32.8,92.7,112.1,Tomato
Black Soil,Kharif,2046.9,36.8,6.88,191.7,47.5,105.2,Cotton
Clay,Rabi,1375.3,24.5,4.66,144.7,25.1,237.2,Rice
Black Soil,Kharif,2105.1,18.4,6.14,144.2,23.1,120.8,Soybean
Sandy Loam,Zaid,2443.8,20.5,6.56,311.8,13.2,254.9,Onion
Black Soil,Kharif,1685.3,37.1,7.09,290.1,58.2,263.7,Soybean
Black Soil,Rabi,858.6,13.5,5.45,33.3,69.6,244.7,Chickpea
Clay,Zaid,2302.8,28.6,5.66,210.2,27.5,182.8,Rice
Red Soil,Kharif,284.8,11.6,8.65,257.4,15.8,144.8,Cotton
Clay Loam,Rabi,531.9,26.5,7.95,312.2,15.2,174.8,Chickpea
Black Soil,Rabi,2476.5,27.9,7.59,208.7,108.6,92.3,Chickpea
Red Soil,Kharif,559.5,15.2,6.67,137.6,87.4,151.2,Cotton
Black Soil,Kharif,2306.4,34.1,5.72,144.2,95.1,292.8,Soybean
Clay Loam,Rabi,1932.7,22.5,7.06,345.1,41.8,177.6,Wheat
Loamy,Rabi,845.7,21.3,8.73,192.2,82.9,120.2,Chickpea
Alluvial,Zaid,929.4,37.6,5.01,208.9,26.2,51.6,Mustard
Black Soil,Rabi,1281.2,19.2,6.62,249.2,54.2,216.6,Chickpea
Red Soil,Zaid,1276.9,17.7,8.37,231.5,43.7,31.8,Groundnut
Sandy Loam,Kharif,1713.3,29.8,6.71,149.8,79.7,209.6,Maize
Loamy,Kharif,1377.3,21.0,5.94,181.2,63.2,146.1,Rice
Loamy,Kharif,1588.5,30.2,6.15,240.1,119.4,108.9,Soybean
Clay,Kharif,616.0,26.6,5.13,56.9,43.1,62.5,Rice
Clay,Kharif,511.3,25.3,4.85,281.5,113.0,279.7,Rice
Sandy Loam,Rabi,1876.8,16.5,4.83,91.5,105.5,278.3,Potato
Black Soil,Kharif,770.0,36.5,7.65,249.9,89.9,112.1,Cotton
Red Soil,Zaid,1792.5,16.7,8.65,298.6,80.4,203.5,Groundnut
Loamy,Zaid,428.1,24.1,5.0,81.9,96.2,120.3,Tomato
Clay,Kharif,990.3,39.3,7.35,113.5,118.3,31.4,Rice
Clay,Rabi,1169.5,33.4,8.92,31.8,85.7,49.4,Rice
Alluvial,Rabi,2220.6,36.0,7.82,264.0,62.3,93.5,Wheat
Clay Loam,Rabi,2414.0,13.1,4.86,182.6,89.8,83.5,Wheat
Alluvial,Rabi,1698.1,33.1,8.19,128.1,17.9,105.4,Potato
Loamy,Rabi,728.7,21.6,7.78,55.4,84.9,39.0,Mustard
Red Soil,Rabi,1438.0,34.2,4.99,83.1,31.7,286.7,Cotton
Clay Loam,Zaid,1741.3,20.9,5.14,275.4,63.4,124.3,Onion
Red Soil,Rabi,2283.5,35.4,8.72,184.1,52.9,35.0,Cotton
Clay,Zaid,562.7,15.1,5.07,343.4,66.8,32.6,Rice
Sandy Loam,Kharif,863.4,17.5,6.67,130.0,57.5,173.7,Maize
Black Soil,Zaid,1231.7,29.0,6.42,37.6,40.7,188.3,Soybean
Alluvial,Zaid,1960.6,39.0,5.95,85.5,80.0,54.2,Maize
Loamy,Kharif,1609.0,26.4,6.34,167.0,91.3,130.5,Rice
Red Soil,Zaid,1532.8,17.9,8.83,62.5,64.6,223.6,Cotton
Sandy Loam,Zaid,2214.4,28.5,5.06,332.9,57.2,275.0,Tomato
Alluvial,Zaid,2347.4,24.8,8.12,72.0,57.9,142.7,Sugarcane
Red Soil,Rabi,987.4,24.7,6.78,91.1,21.8,248.0,Cotton
Alluvial,Zaid,355.2,13.7,7.15,30.5,105.4,195.0,Mustard
Black Soil,Kharif,328.2,17.6,5.87,78.6,34.4,280.6,Soybean
Alluvial,Zaid,2184.9,20.9,7.78,340.8,72.5,88.7,Potato
Sandy Loam,Rabi,1564.8,28.4,8.75,68.0,10.7,86.3,Tomato
Black Soil,Rabi,2385.3,39.9,5.39,260.9,31.7,244.2,Chickpea
Red Soil,Rabi,2046.8,33.8,8.32,235.1,13.2,262.9,Groundnut
Sandy Loam,Rabi,432.5,10.6,6.8,89.7,45.2,148.2,Potato
Clay,Rabi,2395.1,31.8,5.02,33.8,11.8,232.9,Rice
Sandy Loam,Rabi,827.0,17.2,6.29,293.3,94.4,252.4,Mustard
Clay,Rabi,1296.5,17.2,7.45,325.0,85.7,204.0,Rice
Loamy,Zaid,252.6,11.0,5.27,160.1,52.0,39.9,Tomato
Clay Loam,Rabi,798.3,32.0,8.5,40.4,77.9,42.8,Tomato
Alluvial,Rabi,774.8,11.0,5.55,314.2,112.7,154.6,Mustard
Clay,Kharif,1795.2,12.4,6.38,232.6,73.6,63.0,Rice
Clay,Rabi,1006.7,36.4,6.51,180.9,23.0,68.7,Rice
Loamy,Kharif,1635.0,34.9,6.02,262.5,70.8,63.3,Rice
Loamy,Rabi,953.1,21.6,7.07,298.1,69.4,194.9,Wheat
Loamy,Zaid,901.5,22.3,8.04,213.7,16.3,158.2,Tomato
Loamy,Rabi,1400.3,40.0,6.27,121.4,106.8,155.5,Potato
Black Soil,Kharif,2001.6,38.0,7.95,299.3,92.1,122.5,Soybean
Alluvial,Kharif,1798.8,31.8,5.54,328.6,85.9,188.6,Maize
Black Soil,Zaid,1165.2,38.9,8.34,176.7,42.0,191.2,Soybean
Black Soil,Zaid,2489.6,13.1,5.45,253.9,31.6,132.8,Chickpea
Black Soil,Rabi,609.1,25.8,7.76,345.9,45.7,299.5,Chickpea
Clay,Rabi,2172.4,38.6,6.24,335.9,30.8,86.8,Rice
Black Soil,Rabi,1830.4,20.8,5.3,314.2,100.7,96.5,Chickpea
Loamy,Zaid,1744.3,19.6,4.91,266.6,24.1,277.4,Tomato
Loamy,Rabi,575.3,35.9,5.29,229.7,18.4,268.0,Mustard
Clay Loam,Kharif,1263.8,37.6,7.9,40.6,93.7,51.3,Soybean
Clay,Zaid,2295.2,36.4,6.45,145.4,75.7,193.8,Rice
Clay Loam,Rabi,902.2,21.5,7.07,53.5,101.6,160.7,Wheat
Sandy Loam,Zaid,513.5,15.5,4.86,147.9,98.7,40.9,Onion
Red Soil,Kharif,1957.6,26.7,7.73,147.2,56.5,135.3,Cotton
Clay Loam,Zaid,890.6,18.9,6.82,205.8,69.1,228.9,Tomato
Alluvial,Kharif,427.4,27.7,4.92,133.0,22.7,227.8,Maize
Red Soil,Kharif,468.6,32.2,8.34,48.7,101.7,208.2,Groundnut
Loamy,Kharif,2349.7,19.1,6.78,52.3,115.0,93.6,Rice
Sandy Loam,Rabi,1405.2,35.6,5.03,247.5,107.3,249.0,Potato
Clay Loam,Rabi,1954.1,13.7,7.3,167.4,65.8,232.2,Chickpea
Red Soil,Zaid,1588.4,40.0,6.32,87.5,53.2,168.6,Cotton
Clay Loam,Zaid,805.5,39.8,4.76,93.9,92.2,74.4,Tomato
Black Soil,Kharif,628.2,11.3,5.38,94.7,76.9,32.7,Cotton
Sandy Loam,Zaid,405.9,24.9,5.76,158.2,109.6,94.9,Tomato
Alluvial,Kharif,1780.4,28.5,7.13,232.9,118.8,90.1,Cotton
Loamy,Kharif,798.0,37.3,7.81,240.9,46.9,244.1,Soybean
Red Soil,Rabi,842.1,12.7,5.93,313.8,62.5,47.0,Cotton
Clay,Zaid,2319.9,15.0,7.24,181.9,40.1,43.0,Rice
Clay Loam,Rabi,1496.1,17.2,7.41,52.4,116.4,289.0,Chickpea
Black Soil,Rabi,2141.5,19.8,7.03,54.1,24.6,210.6,Chickpea
Loamy,Rabi,823.0,21.0,8.27,98.6,58.5,75.4,Wheat
Clay Loam,Rabi,1582.4,16.1,6.5,81.2,79.6,250.7,Wheat
Clay Loam,Rabi,2064.0,25.8,7.06,103.5,13.6,260.2,Chickpea
Sandy Loam,Zaid,1354.7,20.4,7.86,127.5,49.1,169.8,Tomato
Loamy,Zaid,2468.1,24.9,5.95,286.1,92.6,70.7,Onion
Black Soil,Zaid,2095.6,18.5,7.02,112.5,111.9,135.3,Soybean
Clay,Zaid,654.2,21.5,6.1,106.2,59.2,125.7,Rice
Clay,Zaid,1856.6,34.1,7.84,344.1,30.2,196.4,Rice
Loamy,Zaid,1034.5,19.8,8.61,50.1,102.3,226.7,Tomato
Alluvial,Zaid,2225.0,11.6,8.47,317.1,112.5,79.9,Maize
Clay,Rabi,2430.1,18.7,8.86,122.1,55.1,240.8,Rice
Loamy,Kharif,2194.4,20.9,8.01,102.6,68.4,152.2,Maize
Clay Loam,Rabi,974.5,14.8,7.9,159.6,19.8,297.5,Wheat
Alluvial,Kharif,1795.0,16.4,8.63,176.3,25.9,185.4,Cotton
Black Soil,Rabi,1403.6,11.5,5.39,305.4,26.2,264.7,Chickpea
Clay Loam,Zaid,2147.5,38.4,8.71,232.7,66.5,183.2,Onion
Sandy Loam,Zaid,1806.4,22.3,8.52,206.2,14.9,207.9,Tomato
Clay Loam,Rabi,394.8,11.3,7.99,338.6,65.9,292.7,Tomato
Black Soil,Rabi,2146.8,21.3,5.74,217.6,23.4,86.5,Chickpea
Black Soil,Kharif,2371.8,33.8,7.13,165.2,74.5,128.9,Cotton
Clay,Zaid,1596.9,27.3,8.61,193.8,99.6,103.7,Rice
Loamy,Kharif,824.3,22.0,7.92,268.0,109.0,50.9,Soybean
Clay Loam,Rabi,842.9,35.4,5.1,103.9,53.3,273.7,Wheat
Clay Loam,Kharif,1529.7,29.4,8.52,195.7,119.2,245.1,Soybean
Red Soil,Rabi,1903.4,13.9,6.68,292.6,71.1,264.9,Cotton
Red Soil,Rabi,1808.1,14.0,5.77,145.1,110.0,213.1,Groundnut
Loamy,Rabi,974.7,30.8,5.1,93.7,40.3,88.0,Chickpea
Red Soil,Rabi,2420.6,22.7,8.43,201.2,97.7,255.9,Groundnut
Loamy,Kharif,583.4,23.9,5.14,39.4,49.0,291.1,Soybean
Clay,Zaid,586.4,19.3,5.48,109.9,112.2,101.8,Rice
Black Soil,Zaid,1481.4,30.7,7.11,188.3,54.5,267.6,Soybean
Loamy,Zaid,2491.8,28.1,6.2,213.0,111.3,138.2,Tomato
Red Soil,Rabi,722.6,33.0,5.53,348.3,71.0,292.5,Groundnut
Red Soil,Kharif,2372.8,34.9,6.39,205.8,32.1,240.4,Cotton
Black Soil,Kharif,205.1,28.5,8.82,344.0,101.5,55.6,Soybean
Alluvial,Zaid,1393.0,35.8,5.15,115.7,114.7,268.1,Sugarcane
Black Soil,Rabi,1772.1,34.4,5.65,87.2,68.0,235.4,Chickpea
Loamy,Kharif,557.2,28.4,7.48,245.1,36.4,145.1,Soybean
Black Soil,Rabi,1146.2,16.4,7.73,315.1,105.7,85.6,Chickpea
Clay,Kharif,1359.3,12.4,7.13,214.6,73.5,34.4,Rice
Clay Loam,Zaid,2000.9,26.3,4.79,330.8,17.2,201.3,Onion
Clay Loam,Zaid,242.1,29.4,5.28,270.5,60.9,45.3,Tomato
Black Soil,Kharif,1946.6,39.2,5.48,259.5,78.2,142.0,Cotton
Clay,Rabi,261.0,30.6,8.8,106.0,111.6,273.8,Rice
Sandy Loam,Kharif,2498.8,20.5,7.55,141.7,51.3,162.5,Maize
Loamy,Rabi,2119.8,39.4,8.72,54.0,37.2,222.2,Wheat
Loamy,Kharif,393.0,34.8,8.09,241.8,24.5,291.7,Groundnut
Black Soil,Kharif,361.9,13.6,8.71,53.9,67.7,204.1,Cotton
Red Soil,Rabi,728.0,11.2,4.92,254.2,70.3,273.6,Cotton
Clay,Zaid,2167.1,13.9,4.79,307.8,41.6,298.2,Rice
Sandy Loam,Zaid,990.3,16.2,8.86,172.1,26.4,64.8,Onion
Loamy,Zaid,1707.9,11.0,5.91,205.8,10.7,265.3,Onion
Clay Loam,Zaid,645.4,40.0,6.35,214.5,111.9,169.6,Onion
Clay Loam,Rabi,2363.0,39.2,7.36,107.2,81.3,53.1,Wheat
Clay Loam,Rabi,1459.7,19.5,7.79,190.3,104.7,163.6,Chickpea
Red Soil,Rabi,703.0,21.7,5.65,184.8,89.7,146.8,Groundnut
Sandy Loam,Zaid,2418.3,13.3,5.26,299.0,44.7,79.1,Onion
Clay Loam,Kharif,1873.9,33.6,8.65,76.0,36.3,91.7,Soybean
Clay,Kharif,200.4,11.8,8.23,168.5,72.6,245.7,Rice
Sandy Loam,Zaid,1693.6,17.3,6.61,321.6,29.2,272.5,Tomato
Clay Loam,Zaid,613.7,22.8,7.62,118.4,75.1,224.0,Onion
Clay Loam,Rabi,1151.8,22.2,5.99,203.6,22.7,279.4,Wheat
Loamy,Kharif,1087.1,18.4,4.72,207.1,82.2,98.1,Soybean
Alluvial,Kharif,2239.2,12.7,5.63,110.8,64.8,160.7,Rice
Black Soil,Rabi,1683.6,13.3,6.23,90.3,84.1,202.9,Chickpea
Alluvial,Rabi,310.9,35.4,8.59,176.0,119.8,282.6,Potato
Alluvial,Zaid,1107.0,12.8,7.45,201.2,76.9,279.0,Rice
Clay Loam,Kharif,2406.0,30.6,8.64,236.7,77.4,41.3,Soybean
Black Soil,Rabi,261.8,12.1,8.58,172.4,30.0,38.8,Chickpea
Alluvial,Rabi,1698.8,21.0,8.74,130.8,85.5,156.5,Mustard
Red Soil,Rabi,1753.4,21.9,8.38,171.0,35.9,45.6,Cotton
Clay Loam,Zaid,1104.7,38.5,7.75,69.2,11.3,154.4,Tomato
Red Soil,Kharif,1453.7,22.6,6.62,187.4,99.3,226.4,Groundnut
Clay,Kharif,2458.6,35.1,8.25,142.7,62.8,130.6,Rice
Clay Loam,Zaid,1594.7,23.7,6.09,190.4,12.2,282.6,Onion
Clay,Rabi,1685.8,32.6,7.94,64.7,97.5,30.4,Rice
Sandy Loam,Zaid,1518.3,32.5,8.49,227.4,104.8,56.2,Onion
Clay,Rabi,1450.0,39.4,5.41,52.7,75.7,83.2,Rice
Black Soil,Kharif,1398.0,27.7,7.83,110.3,92.6,191.8,Cotton
Sandy Loam,Kharif,2132.2,27.6,5.06,51.3,46.0,265.9,Maize
Red Soil,Zaid,2137.2,12.2,7.94,120.1,30.0,117.4,Groundnut
Sandy Loam,Rabi,678.6,22.7,5.49,288.6,88.9,216.4,Potato
Alluvial,Kharif,874.0,27.9,8.15,37.9,17.2,242.1,Maize
Clay,Rabi,1895.1,24.0,4.74,277.9,16.7,152.3,Rice
Clay Loam,Kharif,2438.5,19.6,4.5,64.1,105.7,46.1,Soybean
Loamy,Kharif,2031.0,24.5,6.06,291.9,83.5,115.8,Groundnut
Alluvial,Zaid,1688.0,26.3,7.69,151.9,39.3,221.6,Maize
Loamy,Rabi,1046.5,11.3,5.31,318.4,68.1,189.6,Mustard
Red Soil,Zaid,239.1,19.2,6.33,304.7,98.0,258.7,Cotton
Alluvial,Zaid,1149.9,21.7,5.53,270.1,101.6,280.1,Wheat
Loamy,Kharif,506.0,37.9,7.88,85.4,26.8,114.3,Groundnut
Loamy,Zaid,1761.9,12.7,5.1,223.9,88.4,76.8,Onion
Clay Loam,Rabi,1450.7,26.3,5.45,219.7,107.9,49.4,Tomato
Alluvial,Rabi,394.1,39.0,5.46,213.7,16.4,122.0,Mustard
Red Soil,Kharif,395.1,31.6,5.52,149.8,27.0,39.8,Groundnut
Black Soil,Zaid,1064.6,28.6,7.56,188.5,96.7,299.6,Chickpea
Clay,Rabi,1280.5,25.8,7.88,320.5,80.3,287.6,Rice
Alluvial,Rabi,460.9,31.1,5.64,287.9,110.6,72.3,Wheat
Loamy,Rabi,1195.9,27.8,7.1,78.2,16.6,40.7,Wheat
Black Soil,Kharif,1370.7,17.9,5.41,72.1,47.9,157.1,Cotton
Red Soil,Rabi,798.7,34.9,6.21,273.8,42.2,123.1,Groundnut
Clay,Zaid,1169.2,20.7,5.52,265.9,19.5,147.5,Rice
Sandy Loam,Zaid,349.9,25.7,7.43,320.7,116.6,229.2,Onion
Sandy Loam,Rabi,969.7,29.9,6.11,167.8,54.2,166.4,Mustard
Loamy,Rabi,1774.5,37.1,8.9,140.4,17.8,222.4,Chickpea
Clay,Rabi,2206.9,12.1,4.97,162.7,19.8,195.0,Rice
Black Soil,Zaid,1304.9,29.1,8.63,223.0,99.2,255.6,Chickpea
Black Soil,Zaid,943.6,28.0,6.26,136.7,49.8,253.0,Soybean
Clay,Kharif,929.9,29.6,5.29,122.4,28.0,108.3,Rice
Black Soil,Rabi,2088.7,11.8,5.25,126.2,47.8,200.6,Chickpea
Alluvial,Kharif,1925.0,33.1,5.08,350.0,91.4,204.7,Cotton
Red Soil,Kharif,519.3,23.9,8.26,281.3,111.2,284.2,Groundnut
Loamy,Zaid,1425.5,28.7,7.13,173.1,25.4,34.9,Onion
Clay Loam,Zaid,608.4,39.6,8.47,47.2,118.6,38.7,Onion
Clay Loam,Zaid,1039.6,22.1,6.12,226.5,65.3,47.4,Onion
Black Soil,Rabi,2409.3,31.8,5.72,196.6,103.2,247.8,Chickpea
Sandy Loam,Zaid,1696.0,20.6,7.86,272.0,109.5,283.5,Tomato
Black Soil,Zaid,333.9,13.2,4.96,299.2,30.4,97.8,Soybean
Alluvial,Rabi,2015.2,36.3,8.95,258.6,50.9,107.9,Mustard
Clay,Rabi,1831.6,33.2,4.56,262.1,99.6,241.1,Rice
Clay,Rabi,254.1,29.9,6.64,303.2,68.3,47.6,Rice
Alluvial,Zaid,2223.7,17.9,5.53,224.8,76.7,88.7,Rice
Black Soil,Rabi,826.4,17.5,8.51,138.9,14.5,281.1,Chickpea
Clay Loam,Rabi,2141.5,17.7,5.54,289.1,113.2,57.5,Wheat
Black Soil,Rabi,2481.0,38.7,7.64,299.0,89.3,63.6,Chickpea
Black Soil,Zaid,1444.9,28.9,7.03,290.4,64.8,81.4,Cotton
Red Soil,Zaid,533.1,31.2,6.54,251.5,26.4,109.2,Groundnut
Red Soil,Rabi,1789.1,16.6,6.42,71.9,24.5,224.9,Cotton
Clay Loam,Rabi,2364.8,11.0,4.67,89.5,108.9,163.3,Wheat
Sandy Loam,Rabi,1718.9,10.3,4.76,31.3,13.8,247.6,Potato
Sandy Loam,Rabi,1308.7,27.9,6.38,212.4,31.1,234.2,Potato
Alluvial,Rabi,1574.6,34.7,8.88,187.9,112.9,150.8,Potato
Black Soil,Kharif,402.5,34.7,5.21,311.0,30.1,139.2,Soybean
Alluvial,Rabi,788.0,27.3,8.27,140.5,114.3,175.2,Wheat
Alluvial,Rabi,469.2,12.6,6.33,266.7,102.9,77.1,Wheat
Loamy,Kharif,2173.6,27.2,6.31,76.6,114.3,132.5,Rice
Alluvial,Zaid,2326.8,35.6,8.57,266.3,77.8,157.9,Cotton
Alluvial,Zaid,926.9,39.0,8.1,89.4,89.1,267.1,Sugarcane
Loamy,Rabi,783.2,16.8,7.08,281.7,98.4,247.7,Potato
Sandy Loam,Zaid,311.9,30.9,5.26,282.8,114.8,239.6,Onion
Sandy Loam,Kharif,382.7,11.4,7.97,255.8,114.8,49.9,Groundnut
Sandy Loam,Zaid,1940.1,27.7,5.79,244.4,51.0,55.6,Onion
Clay,Kharif,1099.4,35.6,4.66,123.0,29.0,218.7,Rice
Clay Loam,Rabi,1882.7,29.7,7.31,98.1,77.7,65.6,Wheat
Alluvial,Kharif,274.5,28.3,5.93,234.9,25.6,296.7,Cotton
Sandy Loam,Zaid,535.5,19.4,5.08,298.3,58.7,37.4,Tomato
Red Soil,Zaid,356.8,34.4,7.13,246.6,92.5,206.5,Groundnut
Red Soil,Kharif,1337.5,39.3,5.06,340.0,72.3,227.8,Cotton
